"T","X","Y","datasets","days"
"2022--P1Y", +0012, +0030,  496,  146
"2022--P1Y", +0012, +0031,  620,  145
"2022--P1Y", +0012, +0032,  582,  146
"2022--P1Y", +0012, +0033,  302,  146
"2022--P1Y", +0012, +0034,   95,   77
"2022--P1Y", +0012, +0035,  166,   77
"2022--P1Y", +0012, +0036,   93,   72
"2022--P1Y", +0012, +0037,   85,   72
"2022--P1Y", +0012, +0038,   10,    4
"2022--P1Y", +0012, +0039,   10,    6
"2022--P1Y", +0012, +0040,   22,    8
"2022--P1Y", +0012, +0041,   40,    8
"2022--P1Y", +0012, +0042,   28,    8
"2022--P1Y", +0012, +0043,   16,    4
"2022--P1Y", +0012, +0044,   16,    4
"2022--P1Y", +0012, +0045,    8,    4
"2022--P1Y", +0013, +0015,  230,  145
"2022--P1Y", +0013, +0016,  382,  145
"2022--P1Y", +0013, +0017,  591,  145
"2022--P1Y", +0013, +0018,  444,  145
"2022--P1Y", +0013, +0019,  510,  145
"2022--P1Y", +0013, +0020,  586,  146
"2022--P1Y", +0013, +0021,  583,  146
"2022--P1Y", +0013, +0022,  523,  146
"2022--P1Y", +0013, +0023,  536,  146
"2022--P1Y", +0013, +0024,  659,  146
"2022--P1Y", +0013, +0025,  586,  146
"2022--P1Y", +0013, +0026,  540,  146
"2022--P1Y", +0013, +0027,  437,  146
"2022--P1Y", +0013, +0028,  438,  146
"2022--P1Y", +0013, +0029,  366,  146
"2022--P1Y", +0013, +0030,  337,   72
"2022--P1Y", +0013, +0031,  316,   72
"2022--P1Y", +0013, +0032,  434,   73
"2022--P1Y", +0013, +0033,  439,   73
"2022--P1Y", +0013, +0034,  299,   73
"2022--P1Y", +0013, +0035,  295,   73
"2022--P1Y", +0013, +0036,  224,   72
"2022--P1Y", +0013, +0037,  224,   73
"2022--P1Y", +0013, +0038,   86,   73
"2022--P1Y", +0013, +0039,   16,    4
"2022--P1Y", +0013, +0040,   28,    8
"2022--P1Y", +0013, +0041,   36,    8
"2022--P1Y", +0013, +0042,   32,    8
"2022--P1Y", +0013, +0043,   24,    8
"2022--P1Y", +0013, +0044,   24,    8
"2022--P1Y", +0013, +0045,   16,    8
"2022--P1Y", +0014, +0015,  104,   89
"2022--P1Y", +0014, +0016,  350,  145
"2022--P1Y", +0014, +0017,  513,  145
"2022--P1Y", +0014, +0018,  432,  145
"2022--P1Y", +0014, +0019,  292,   73
"2022--P1Y", +0014, +0020,  294,   73
"2022--P1Y", +0014, +0021,  292,   73
"2022--P1Y", +0014, +0022,  291,   73
"2022--P1Y", +0014, +0023,  401,   73
"2022--P1Y", +0014, +0024,  445,  146
"2022--P1Y", +0014, +0025,  441,  146
"2022--P1Y", +0014, +0026,  475,  146
"2022--P1Y", +0014, +0027,  437,  146
"2022--P1Y", +0014, +0028,  584,  146
"2022--P1Y", +0014, +0029,  587,  146
"2022--P1Y", +0014, +0030,  564,  146
"2022--P1Y", +0014, +0031,  613,  146
"2022--P1Y", +0014, +0032,  655,  146
"2022--P1Y", +0014, +0033,  729,  146
"2022--P1Y", +0014, +0034,  591,  146
"2022--P1Y", +0014, +0035,  381,  146
"2022--P1Y", +0014, +0036,  179,   76
"2022--P1Y", +0014, +0037,  163,   73
"2022--P1Y", +0014, +0038,   94,   73
"2022--P1Y", +0014, +0039,   24,    4
"2022--P1Y", +0014, +0040,   24,    4
"2022--P1Y", +0014, +0041,   24,    4
"2022--P1Y", +0014, +0042,   24,    4
"2022--P1Y", +0014, +0043,   16,    4
"2022--P1Y", +0014, +0044,   16,    4
"2022--P1Y", +0014, +0045,    8,    4
"2022--P1Y", +0015, +0015,   31,   20
"2022--P1Y", +0015, +0016,  262,  145
"2022--P1Y", +0015, +0017,  457,  145
"2022--P1Y", +0015, +0018,  580,  145
"2022--P1Y", +0015, +0019,  585,  145
"2022--P1Y", +0015, +0020,  600,  146
"2022--P1Y", +0015, +0021,  511,  146
"2022--P1Y", +0015, +0022,  740,  146
"2022--P1Y", +0015, +0023,  769,  146
"2022--P1Y", +0015, +0024,  662,  146
"2022--P1Y", +0015, +0025,  369,  146
"2022--P1Y", +0015, +0026,  389,   73
"2022--P1Y", +0015, +0027,  438,   73
"2022--P1Y", +0015, +0028,  438,   73
"2022--P1Y", +0015, +0029,  584,   73
"2022--P1Y", +0015, +0030,  663,   73
"2022--P1Y", +0015, +0031,  517,   73
"2022--P1Y", +0015, +0032,  441,   73
"2022--P1Y", +0015, +0033,  511,  145
"2022--P1Y", +0015, +0034,  520,  145
"2022--P1Y", +0015, +0035,  308,  145
"2022--P1Y", +0015, +0036,  105,   77
"2022--P1Y", +0015, +0037,  184,   77
"2022--P1Y", +0015, +0038,  180,   77
"2022--P1Y", +0015, +0039,  247,  146
"2022--P1Y", +0015, +0040,  317,  146
"2022--P1Y", +0015, +0041,  312,  146
"2022--P1Y", +0015, +0042,  170,  146
"2022--P1Y", +0015, +0043,   28,    8
"2022--P1Y", +0015, +0044,   16,    4
"2022--P1Y", +0015, +0045,    8,    4
"2022--P1Y", +0016, +0015,   11,    4
"2022--P1Y", +0016, +0016,  227,   72
"2022--P1Y", +0016, +0017,  292,   72
"2022--P1Y", +0016, +0018,  288,   72
"2022--P1Y", +0016, +0019,  302,   73
"2022--P1Y", +0016, +0020,  406,  146
"2022--P1Y", +0016, +0021,  584,  146
"2022--P1Y", +0016, +0022,  741,  146
"2022--P1Y", +0016, +0023,  755,  146
"2022--P1Y", +0016, +0024,  658,  146
"2022--P1Y", +0016, +0025,  441,  146
"2022--P1Y", +0016, +0026,  747,  146
"2022--P1Y", +0016, +0027,  879,  146
"2022--P1Y", +0016, +0028, 1172,  146
"2022--P1Y", +0016, +0029,  879,  146
"2022--P1Y", +0016, +0030,  588,  146
"2022--P1Y", +0016, +0031,  592,  146
"2022--P1Y", +0016, +0032,  481,  113
"2022--P1Y", +0016, +0033,  440,   73
"2022--P1Y", +0016, +0034,  373,   73
"2022--P1Y", +0016, +0035,  223,   73
"2022--P1Y", +0016, +0036,  154,   73
"2022--P1Y", +0016, +0037,  324,   73
"2022--P1Y", +0016, +0038,  295,   73
"2022--P1Y", +0016, +0039,  223,   73
"2022--P1Y", +0016, +0040,  223,   73
"2022--P1Y", +0016, +0041,  387,  146
"2022--P1Y", +0016, +0042,  300,  146
"2022--P1Y", +0016, +0043,   93,   77
"2022--P1Y", +0016, +0044,   30,    8
"2022--P1Y", +0016, +0045,   16,    8
"2022--P1Y", +0017, +0015,   17,    4
"2022--P1Y", +0017, +0016,  277,  121
"2022--P1Y", +0017, +0017,  575,  143
"2022--P1Y", +0017, +0018,  503,  143
"2022--P1Y", +0017, +0019,  451,  144
"2022--P1Y", +0017, +0020,  445,  144
"2022--P1Y", +0017, +0021,  434,  144
"2022--P1Y", +0017, +0022,  363,  144
"2022--P1Y", +0017, +0023,  438,   73
"2022--P1Y", +0017, +0024,  365,   73
"2022--P1Y", +0017, +0025,  294,   73
"2022--P1Y", +0017, +0026,  295,   73
"2022--P1Y", +0017, +0027,  439,   73
"2022--P1Y", +0017, +0028,  511,  146
"2022--P1Y", +0017, +0029,  438,  146
"2022--P1Y", +0017, +0030,  441,  146
"2022--P1Y", +0017, +0031,  517,  146
"2022--P1Y", +0017, +0032,  590,  146
"2022--P1Y", +0017, +0033,  590,  146
"2022--P1Y", +0017, +0034,  517,  146
"2022--P1Y", +0017, +0035,  441,  146
"2022--P1Y", +0017, +0036,  440,  146
"2022--P1Y", +0017, +0037,  608,  146
"2022--P1Y", +0017, +0038,  588,  146
"2022--P1Y", +0017, +0039,  154,   73
"2022--P1Y", +0017, +0040,  154,   73
"2022--P1Y", +0017, +0041,  223,   73
"2022--P1Y", +0017, +0042,  223,   73
"2022--P1Y", +0017, +0043,  156,   73
"2022--P1Y", +0017, +0044,   16,    4
"2022--P1Y", +0017, +0045,    8,    4
"2022--P1Y", +0018, +0016,  142,   71
"2022--P1Y", +0018, +0017,  422,  143
"2022--P1Y", +0018, +0018,  432,  143
"2022--P1Y", +0018, +0019,  610,  144
"2022--P1Y", +0018, +0020,  579,  144
"2022--P1Y", +0018, +0021,  575,  144
"2022--P1Y", +0018, +0022,  506,  144
"2022--P1Y", +0018, +0023,  577,  144
"2022--P1Y", +0018, +0024,  650,  144
"2022--P1Y", +0018, +0025,  869,  144
"2022--P1Y", +0018, +0026,  792,  144
"2022--P1Y", +0018, +0027,  579,  144
"2022--P1Y", +0018, +0028,  430,  143
"2022--P1Y", +0018, +0029,  292,   73
"2022--P1Y", +0018, +0030,  296,   73
"2022--P1Y", +0018, +0031,  295,   73
"2022--P1Y", +0018, +0032,  296,   73
"2022--P1Y", +0018, +0033,  296,   73
"2022--P1Y", +0018, +0034,  295,   73
"2022--P1Y", +0018, +0035,  319,   94
"2022--P1Y", +0018, +0036,  515,  146
"2022--P1Y", +0018, +0037,  598,  146
"2022--P1Y", +0018, +0038,  677,  146
"2022--P1Y", +0018, +0039,  385,  146
"2022--P1Y", +0018, +0040,  255,  146
"2022--P1Y", +0018, +0041,  195,  146
"2022--P1Y", +0018, +0042,  109,   89
"2022--P1Y", +0018, +0043,   94,   77
"2022--P1Y", +0018, +0044,   20,    8
"2022--P1Y", +0018, +0045,    8,    4
"2022--P1Y", +0019, +0016,  143,   71
"2022--P1Y", +0019, +0017,  436,  144
"2022--P1Y", +0019, +0018,  444,  144
"2022--P1Y", +0019, +0019,  385,  144
"2022--P1Y", +0019, +0020,  284,   71
"2022--P1Y", +0019, +0021,  281,   71
"2022--P1Y", +0019, +0022,  285,   71
"2022--P1Y", +0019, +0023,  285,   71
"2022--P1Y", +0019, +0024,  796,  144
"2022--P1Y", +0019, +0025,  870,  144
"2022--P1Y", +0019, +0026,  431,  144
"2022--P1Y", +0019, +0027,  433,  144
"2022--P1Y", +0019, +0028,  430,  144
"2022--P1Y", +0019, +0029,  575,  144
"2022--P1Y", +0019, +0030,  581,  144
"2022--P1Y", +0019, +0031,  505,  144
"2022--P1Y", +0019, +0032,  439,  144
"2022--P1Y", +0019, +0033,  442,  144
"2022--P1Y", +0019, +0034,  357,  132
"2022--P1Y", +0019, +0035,  297,   73
"2022--P1Y", +0019, +0036,  295,   73
"2022--P1Y", +0019, +0037,  292,   73
"2022--P1Y", +0019, +0038,  305,   73
"2022--P1Y", +0019, +0039,  381,   73
